ě pé 	il a pris
Yeso ghɔm bi pɑkhʉ pyə gɑ: Po ghə́ wap cwətə si pɔ mghǎmthɔ mghǎmthɔ.	car ils étaient environ cinq mille hommes. Et il dit à ses disciples : Faites-les asseoir par rangs de cinquante chacun.
Wap lə ghə po'o, pɔmnəŋ cwətə si awɛ.	Et ils firent ainsi, et les firent tous asseoir.
Yeso lə kwi msɛ̌ mta' tɔ ba bapgu duŋ pʉə, bʉ' mnyə kɛbəŋ, nyəŋ byanyə nə́, bo'tə, hɑ bi pɑkhʉ pyə gɑ wap ghaptə bi pɔmnəŋ.	Et ayant pris les cinq pains et les deux poissons, et regardant vers le ciel, il les bénit, et les rompit ; et il les donna à ses disciples pour les mettre devant la foule.
Pɔmnəŋ lə pfɑ ywə tə jwyə; pu lak bo' tsə nə msap shwɔppʉə mgham.	Et ils mangèrent tous et furent rassasiés ; et de ce qui leur était resté de morceaux, on ramassa douze paniers.
Yeso pu a pɑkhʉ pyə lə pɑ̌ tsʉ' tsiŋ bɑ shwyɛ'nyə si, e həŋtə wáp gɑ: Pɔmnəŋ gɔm gɑ gɑ̌ bɑ wɑ́?	Et il arriva, comme il priait à l’écart, que ses disciples étaient avec lui. Et il les interrogea, disant : Qui disent les foules que je suis ?
Wap pa' gɑ: Shɑ pɔ gɔm gɑ o bɑ Yohane nu' pɔ shyə, shɑ pɑ́ gɔm gɑ́ o bɑ́ Elia. Pyə shɑ pɑ gɑ o bɑ mu' gɔm ghɔm Si bɑ e yám nə vʉ̌.	Et répondant, ils dirent : Jean le baptiseur ; et d’autres : Élie ; et d’autres, que l’un des anciens prophètes est ressuscité.
Yeso həŋtə wap gɑ: Sɔ' m nə po, po gɔm gɑ gɑ̌ bɑ wɑ? Pɛtrɔ ghɔm gɑ: O bɑ Kristo Si.	Et il leur dit : Et vous, qui dites-vous que je suis ? Et Pierre, répondant, dit : Le Christ de Dieu !
Yeso co' bi pu gɑ wap kɑ siŋ sɔmmo.	Et s’adressant à eux avec force, il leur commanda de ne dire ceci à personne,
Biŋ gɔm gɑ: Mú mo gɔ yɔgo' tə', mghətso ba mtadyə mkamsi pu a pɑ zhyə mcò' wa' e, pu zhwə e, a pɑ batə tyɛ'dzʉ yɑtá e yám nə vʉ̌.	disant : Il faut que le fils de l’homme souffre beaucoup, et qu’il soit rejeté des anciens et des principaux sacrificateurs et des scribes, et qu’il soit mis à mort, et qu’il soit ressuscité le troisième jour.
E lə piŋ gɔm bi guŋ yap awɛ gɑ: Mo pɑ gɔ yap jʉ̌m m̀, e kəŋnyə thə nɑ e, biŋ ŋkwa yə bɛnyəpɛnyə nə jap jʉ̌m m̀ guŋ mtyɛ'dzʉ awɛ.	Et il disait à tous : Si quelqu’un veut venir après moi, qu’il se renonce soi-même, et qu’il prenne sa croix chaque jour, et me suive:
Mo yə ě cəŋ nə vɔk vɔ́k é a gɔ pi, mo yə e pi vɔk e nə thə́ ǎ gɔ sɔ' vɔk.	car quiconque voudra sauver sa vie la perdra* ; et quiconque perdra* sa vie pour l’amour de moi, celui-là la sauvera.
A po'o bi a pɑ mo nyəŋ guŋ dzʉ awɛ pʉə e tə bi vɔk, kɑ sa'tə vɔk e lə bɑ a gɔ kwitə e m kɑ?	Car que profitera-t-il à un homme de gagner le monde entier, s’il se détruit* lui-même ou se perd lui-même ?
Mo yə ě kuso nə m̀ ba nə ghɔm tsɑ̌ a, bɑ Mu mo gɔ sɔ' kuso nə e nə cwə yə e gɔ sɔ' sɔ' nthʉm ghu'tə e, ba yə Tap e pu a pɑ aŋgəle dɔlɔ̌ a.	Car quiconque aura honte de moi et de mes paroles, le fils de l’homme aura honte de lui quand il viendra dans sa gloire et dans celle du Père et des saints anges.
Gɑ̌ siŋ wɔ kwa' nyənyɔ gɑ shɑ pɔ cəcɑ̌ pɔ pyə wap tsɔ' á, tə gɔ sɔ' pfʉ́ tə yɔ Nəfo Si pɑ.	Et je vous dis, en vérité, que de ceux qui sont ici présents, il y en a quelques-uns qui ne goûteront point la mort jusqu’à ce qu’ils aient vu le royaume de Dieu.
A lə nə cyə tyɛ'dzʉ hɔ̌m pá' Yeso gɔm mɔ mnwə a, e lɑ Pɛtrɔ, ba Yohane pu Yakop pu a pu ghɔ dəm kuŋgo nə cwyɛ'nyə Si.	Et il arriva, environ huit jours après ces paroles, qu’il prit avec lui Pierre et Jean et Jacques, et qu’il monta sur une* montagne pour prier.
E lə pɑ gɔm po'o mlwa təm sam pɔ bɔ. Pɑkhʉ Yeso nə yɔ pa' mlwa sam wap a bwɔk te' ó.	Et comme il disait ces choses, une nuée vint et les couvrit* ; et ils eurent peur comme ils entraient dans la nuée.
Wap yu' gi mo nthʉm mlwa ghɔm gɑ: Mo yəŋ gɑ bɑ Mú a, bɑ gɑ cwɔ' e. Po yu'nyə é.	Et il y eut une voix venant de la nuée, disant : Celui-ci est mon Fils bien-aimé, écoutez-le.
Wap lə nə yu' gi mo po'o, biŋ jɔ pɑ́ da' Yeso do é. Pɑkhʉ pyə lɛtə gɑ kǎm. Wap lə siŋ sɔmmo ywə yə wap jɔ́ a cwə o bɔ.	Et la voix s’étant fait entendre, Jésus se trouva seul. Et ils se turent, et ne rapportèrent en ces jours-là à personne rien de ce qu’ils avaient vu.
Dzʉ lə́ lɔ, wap fi' dəm ŋkhuŋ gɔ̌. Pɔmnəŋ tə jɔm sɔ' dzə Yeso.	Et il arriva, le jour suivant, quand ils furent descendus de la montagne, qu’une grande foule vint à sa rencontre.
Mu' mo cəcɑ̌ vəŋ pɔ ghɔm tə thə́ gɑ: Ta, səso ma' mnyə mǔ nə mú a yə̌ŋ. E bɑ pɑ duŋ e do é bəm.	Et voici, un homme de la foule s’écria, disant: Maître*, je te supplie, jette les yeux sur mon fils, car il est mon unique.
Mu' zhwenyə cwəpuŋ ŋkho nə é. E cwe, sɛtə́ mnyə, sə́ mkəkak, nə təm nə e a tʉɔ, nə təm bɑ e pwa.	et voici, un esprit le saisit; et soudain il crie; et il le déchire, en le faisant écumer; et c’est à peine s’il se retire de lui après l’avoir broyé.
Yeso lə pɑ shwyɛ'nyə Si, sə e sɑnyə̀, dzə e fɔk dəŋnyələŋnyə.	Et comme il priait, l’apparence de son visage devint tout autre, et son vêtement devint blanc [et] resplendissant comme un éclair;
Pu yɔ shɑ pɔ pɑpʉə pu a pu pɑ wə gɔmtə. A lə bɑ Mosɛ pu Elia.	et voici, deux hommes, qui étaient Moïse et Élie, parlaient avec lui.
Pɔ bɔ pu a Yeso lə nə hapnyə, Pɛtrɔ ghɔm bi e gɑ: Ta, a puŋ nə pɑ tsɔ'ɔ; pɑ zhɔk mpfɑ tsɔ'ɔ mɑntha: Yǔ, yə Mosɛ ba yə Elia. E lə gɔm po'o tə pɑwə jyə́ ywə yə e gɔm a.	Et il arriva, comme ils se séparaient de lui, que Pierre dit à Jésus: Maître, il est bon que nous soyons ici; et faisons trois tentes: une pour toi, et une pour Moïse, et une pour Élie, ne sachant ce qu’il disait.
Bɑ wap ŋwak nthʉm ghu'tə̀. Wap lə bɑwə gɔm pa' cwə yə Yeso gɔ pɑnyə a si gɔ ku'.	Yerusalɛm a lesquels, apparaissant en gloire, parlaient de sa mort qu’il allait accomplir à Jérusalem.
Pɛtrɔ pu a mso pyə lə bɑwə gʉɔnyə lwɔk. Wap lə cwə tə jǎm, jɔ ghu'tə̀ Yeso ba pɔ pɑpʉə pyə pu a pu lə́ bɑ́wə gɔm a.	Et Pierre et ceux qui étaient avec lui étaient accablés de sommeil; et quand ils furent réveillés, ils virent sa gloire et les deux hommes qui étaient avec lui.
Gɑ̌ cwyɛ'nyə pɑkhʉ pǔ, gɑ wap zhəŋ zhwenyə bɔ, la' wap ghə jyə́.	et j’ai supplié tes disciples de le chasser, et ils n’ont pas pu.
Yeso ghɔm gɑ: Gwya msɔk tʉ́m, pɑ tə́ ghə piŋnthʉm, pɔ cwəpuŋ. Pɑ gɔ piŋ cwə dəŋ pa' po pɑ dzá nə m̀? Lɑ mu o nə́ sɔ'.	Et Jésus, répondant, dit: Ô génération incrédule et perverse, jusques à quand serai-je avec vous et vous supporterai-je ? Amène ici ton fils.
Mu lə pɑ sɔ', zhwenyə bɔ ma' e si. Shʉ'nyə e m bò. Yeso cɔk zhwenyə cwəpuŋ bɔ, jɛ mu bɔ, hɑ e bi tap e.	Et encore, comme il approchait, le démon le renversa et le tourmenta violemment; mais Jésus tança l’esprit immonde, et guérit l’enfant, et le rendit à son père.
Guŋ pɔ awɛ yɔ pa' gʉ' Si bɑ a tʉɔ a, a sya wap. Yeso siŋ nə batə m cʉm bʉə gɑ e gɔ yɔgo'Wap lə pɑ ŋwɛnyə nə guŋ tsə tsyə, Yeso lə gə a, e ghɔm bi pɑkhʉ pyə gɑ:	Et tous furent étonnés de la grandeur de Dieu. Et comme tous s’étonnaient de tout ce que Jésus faisait, il dit à ses disciples:
Po cəŋtə ju' ywə yə gɑ gɔ ghɔm bi po a: Pu gɔ hɑ mu mo nə bu pɔmnəŋ.	Vous, gardez bien ces paroles que vous avez entendues, car le fils de l’homme va être livré entre les mains des hommes.
Da' gɑ la' pɑkhʉ pyə yu' ywə yə e bɑwə gɔm bi pu a, bɑ ǎ tʉmnyə nə zhyənwə yap. Wap piŋ bwɔk nə həŋtə e nwə nə́.	Mais ils ne comprirent pas cette parole, et elle leur était cachée, en sorte qu’ils ne la saisissaient pas ; et ils craignaient de l’interroger touchant cette parole.
Pɑkhʉ pyə lə pɑ̌ fəŋnyə cəcɑ̌ pu nə zhyə mo gwyə nə pú.	Et il s’éleva au milieu d’eux une question, [à savoir] lequel d’entre eux serait* le plus grand.
Yeso zhyə́ ywə yə wap lə bɑwə ŋkwɛ a, ŋkhe mu' múywə mú jap e bəŋ e.	Mais Jésus, voyant la pensée de leur cœur, prit un petit enfant, et le plaça auprès de lui;
Gɔm bi pú gɑ: Mo yə é lɑ tso tsɑ̌ nyəŋ múywə mú yəŋ dyə a, bɑ e nyəŋ pa' pɑ myə̀ dyə́. Mo yə e nyəŋ a dyə a, bɑ e nyəŋ mo yə e nthəm a dyə́; nə pa' mo yə e cəcɑ̌ po bɑ mo ŋkho' a nə bɑ mo gwyə́. Mo tak tə pɑ gɛ bo o bɑ e bɑ só o.	et il leur dit : Quiconque recevra ce petit enfant en mon nom, me reçoit ; et quiconque me reçoit, reçoit celui qui m’a envoyé. Car celui qui est le plus petit parmi vous tous, c’est celui-là qui est grand.
Yohane ghɔm gɑ: Ta, pyə yɔ mu' mo e pɑwə dɑ́ tso tsú jəŋ mzhwenyə cwəpuŋ pyə cə́ŋ nə́ kɔ bi é, nə pa' tə pyə a pu nə bəmtə bɑ jʉm o pɑ.	Et Jean, répondant, dit :Maître, nous avons vu quelqu’un qui chassait des démons en ton nom, et nous le lui avons défendu, parce qu’il ne [te] suit pas avec nous.
Tə́ Yeso ghɔm gɑ: Ka po kɔ bi e nə pa' mo yə e tə bɑ gɛ bo yɔ a pɑ bɑ so yɔ.	Et Jésus lui dit: Ne le lui défendez pas*, car celui qui n’est pas contre vous est pour vous.
Cwə yə Yeso lə bɑ gɔ təm nthʉ́m dzʉ́ lə ku' a, e yap gɑ e gɔ ghɔ Yerusalɛm.	Or il arriva, comme les jours de son assomption s’accomplissaient, qu’il dressa sa face résolument pour aller à Jérusalem.
Nthəm mghɛ nthəm dzə e. Wap lə ghɔ tə ŋkho nthʉm mu' pfə la' nthʉm guŋ Samaria nə nyaptə tsʉ' bi Yeso.	et il envoya devant sa face des messagers. Et s’en étant allés, ils entrèrent dans un village de Samaritains pour lui préparer [un logis];
Pɑ tsʉ'u bɔ kəŋnyə nə lɑ wap, nə pa' wap lə bɑwə gɔ m Yerusalɛm a.	et ils ne le reçurent point, parce que sa face était tournée vers Jérusalem.
Yakop pu Yohane lə yɔ po'o, gɔm gɑ: Cyəpɔ, o piŋ gɑ pyə ke mɔk, a fi' fɑ thə́ kɛbəŋ sɔ' si'nyə wap a?	Et ses disciples, Jacques et Jean, voyant cela, dirent: Seigneur, veux-tu que nous disions que le feu descende du ciel et les consume, comme aussi fit Élie?
Yeso fɛ nɑ e de wap, shɔktə wap sepu a pu ghɔ nə mu' guŋ dyɛ'. Wa' guŋ ywə awɛ, yap jʉ̌m Yeso	Et, se tournant, il les censura fortement [et dit : Vous ne savez de quel esprit vous êtes animés]!
Wap lə pɑ mə́jyə, mu' mbɛ ghɔm bi Yeso gɑ: Gɑ gɔ yap jʉ̌m o, tə ko bǎ hɑ́ lə́ yə o ghɔ a.	Et il arriva, comme ils allaient par le chemin, qu’un certain homme lui dit: Seigneur, je te suivrai où que tu ailles.
Yeso ghɔm bi e gɑ: Msə́sʉm bɑ wap ghə mghʉ̌m map, pǒmsəŋ to kɛbəŋ ghə mkɔ máp, tə́ Mú mo bɑ e ka ghə tsʉ' nə yap thə́ é nə́.	Et Jésus lui dit : Les renards ont des tanières, et les oiseaux du ciel ont des demeures ; mais le fils de l’homme n’a pas où reposer sa tête.
Biŋ gɔm bí mu' mo gɑ: Yap jʉ̌m m̀. Mo bɔ ghɔm gɑ: Ta piŋ gɑ də́ŋdzə gɔ nthəŋ ta á.	Et il dit à un autre: Suis-moi ;et il dit : Seigneur, permets-moi d’aller premièrement ensevelir mon père.
Yeso ghɔm bi e gɑ: Tak mpfə pɔ wap təŋ mpfə pɔ pap, sɔ' m nə o, ghɔ siŋ Nəfo Si.	Et Jésus lui dit: Laisse les morts ensevelir leurs morts ; mais toi, va et annonce le royaume de Dieu.
Mu' mo kwi' gɔm bi e gɑ: Ta gɑ gɔ yap jʉm o, da' gɑ piŋ bəm gɑ́ gɔ pyə a mfɑ pɑ̌ la'nyə.	Et un autre aussi dit: Je te suivrai, Seigneur; mais permets-moi de prendre premièrement congé de ceux qui sont dans ma maison.
Yeso ghɔm bi e gɑ: Mo yə ě kyəp sú nə dzʉ'ne, dé jʉm a, ka ku'nyə nə́ Nəfo Si.	Et Jésus lui dit: Nul qui a mis la main à la charrue et qui regarde en arrière, n’est propre pour le royaume de Dieu.
A lə pɑ po'o, Cyəpɔ cwɔ' shɑ pɑkhʉ pyə shwɔppʉə mgham sɔmbʉə, nthəm wap pɑpʉə pɑpʉə dzə e, nthʉm guŋ mtisuŋ awɛ ba guŋ myə shɑ mtsʉ' myə kwa' yʉ Cyəpɔ lə́ bɑ gɔ ghɔ nə a.	Or après ces choses, le Seigneur en désigna aussi soixante-dix autres, et les envoya deux à deux devant sa face dans toutes les villes et dans tous les lieux où il devait lui-même aller.
E lə ghɔm bi pu gɑ: Tsə́ lɑ nyə́ŋ dyə yɔm, mghɛ fa' kɔk; po cwyɛ'nyə Cyəpɔ gɑ e cya shɑ mghɛ fa' pe é nə lɑ tsə nyə́ŋ dyə.	Il leur disait donc : La moisson est grande, mais il y a peu d’ouvriers : suppliez donc le Seigneur de la moisson, en sorte qu’il pousse des ouvriers dans sa moisson.
Po ghɔ̌! Gɑ̌ nthəm wɔ pa' mjʉ̀jʉ̀ a cəcɑ̌ mbvʉ̌ go.	Allez; voici, moi je vous envoie comme des agneaux au milieu des loups.
Ka po lɑ pétə́, ka po lɑ pʉ̀ə, ka po lɑ mthap; po kɑ ca'tə sɔmmo məjyə.	Ne portez ni bourse, ni sac, ni sandales ; et ne saluez personne en chemin.
Po ko bǎ nə ya dyə́ lə po ləŋdzə gɔm gɑ: Hwitə̀ bi dyə yəŋ gɑ.	Mais, dans quelque maison que vous entriez, dites premièrement: Paix sur cette maison!
Bya mo hwitə pɑ dyə bɔ bɑ hwitə́ yɔ gɔ ko nə e, tak po'o bɑ́ hwitə́ yɔ gɔ wuŋ nə po.	Et si un fils de paix est là, votre paix reposera sur elle*, sinon elle retournera sur vous.
Po cwə dyə bɔ, dzʉ́ biŋ nwə ywə yə pu hɑ bi po a nə pa' bǎ ya gɛfa' lə bɑ e ku' nə mcwɔ'fa' myə́. Ka po ko mdyə́dyə̌.	Et demeurez dans la même maison, mangeant et buvant de ce qui [vous sera offert] de leur part; car l’ouvrier est digne de son salaire. Ne passez pas de maison en maison.
Po ko bǎ nə ya tisuŋ lə́ tə pu nyəŋ wɔ dyə́, po tsʉ ywə yə pu gɔ hɑ bi po a.	Et dans quelque ville que vous entriez et qu’on vous reçoive, mangez de ce qui sera mis devant vous.
Jɛ mghɛ gho pyə wap gɔ pɑ nthʉm tisuŋ bɔ a, gɔm bi pu gɑ: Nəfo Si sɔ' tə bɑ bəŋ po.	et guérissez les infirmes qui y seront, et dites-leur : Le royaume de Dieu s’est approché de vous.
Tə bǎ ya tisuŋ lə́ yə po ko nə la' pu piŋ nə nyəŋ wɔ dyə a, po ghɔ̀ məjyə, gɔm gɑ:	Mais dans quelque ville que vous soyez entrés et qu’on ne vous reçoive pas, sortez dans ses rues et dites:
Pyə tsɔp vɔp tsɔ́ nə mkwə mɔk tə́ po zhyə gɑ Nəfo Si sɔ'.	La poussière même de votre ville, qui s’est attachée à nos pieds*, nous la secouons contre vous; mais sachez ceci, que le royaume de Dieu s’est approché.
Ga siŋ wɔ gɑ a gɔ la' pɑ tyɛ'dzʉ bɔ, Sodɔm lə pɑ sɔmywə nə yə go' tisuŋ bɔ.	Je vous dis que le sort de Sodome sera plus supportable en ce jour-là que celui de cette ville-là.
Korazin, o bɑ gɛ ghəghʉɔ! Betsaida, o bɑ gɛ ghəghʉɔ! Nə pa' msyanwə myə pu gə bi po a, a lə pe' bɑ m Tiro pu Sidon bɑ wap lě da' bʉɔtʉm tsap tə shi' və biŋ ŋkwa mko' pʉ̀ə.	Malheur à toi, Chorazin ! malheur à toi, Bethsaïda ! car si les miracles qui ont été faits au milieu de vous eussent été faits dans Tyr et dans Sidon, il y a longtemps qu’elles se seraient repenties, s’étant assises dans le sac et la cendre;
A po'o tə a gɔ sɔ' pɑ tyɛ'dzʉ nə fyɛ', go' Tiro pu Sidon lə pɑ sɔmywə nə yù.	mais le sort de Tyr et de Sidon, au jugement, sera plus supportable que le vôtre.
Sɔ' m nə o Kapɛrnaum, o kwɔ' tə ŋkho pɑ kɛbəŋ, bɑ o gɔ sɔ' fi' tə ko guŋ mpfə a vʉ̌.	Et toi, Capernaüm, qui as été élevée jusqu’au ciel, tu seras abaissée jusque dans le hadès*.
Yeso lɑ kwi' gɔm bi pɑkhʉ pyə gɑ: Mo yə e piŋ wɔ a, bɑ e piŋ a. Mo yə e kəŋnyə wɔ a, bɑ e kəŋnyə a; mo yə e kəŋnyə a á, bɑ e kəŋnyə mo yə e nthəm á.	a Celui qui vous écoute, m’écoute ; et celui qui vous rejette, me rejette ; et celui qui me rejette, rejette celui qui m’a envoyé.
Mghɛ nthəm pɔ shwɔppʉə mgham sɔmbʉə lə lɑ́ ŋwɛnyə bɑnyə, gɔm bi e gɑ: Cyəpɔ: Ba mzhwenyə cwəpuŋ yu' shwə yɔk nə cwə yə pyə dɑ tso tsu gɔm nwə bi pu a.	Et les soixante-dix s’en revinrent avec joie, disant: Seigneur, les démons mêmes nous sont assujettis en ton nom.
Yeso ghɔm bi pu gɑ: Ŋ də yɔ Sata e fɑ kɛbəŋ bvʉ pa' pəpa' bəŋ a.	Et il leur dit : Je voyais Satan tombant du ciel comme un éclair.
Po yu', ŋ də hɑ tʉɔ bi po nə́ nə giŋ nə mnɔk ba m nə́ mgɔmsǐ, nə́ nə hya gʉ' gɛ bo tə sɔmywə cwəpuŋ gə wɔ.	Voici, je vous donne l’autorité de marcher sur les serpents et sur les scorpions, et sur toute la puissance de l’ennemi ; et rien ne vous nuira;
Tə ka po ŋwɛnyə pɑ́ gɑ mzhwenyə cwəpuŋ yu'shwə yɔ; po ŋwɛnyə m gɑ́ pu və mtso mo kɛbəŋ.	toutefois ne vous réjouissez pas de ce que les esprits vous sont assujettis, mais réjouissez-vous parce que vos noms sont écrits dans les cieux.
Pɑ kwa' cwə o bɔ, Zhwenyə Dɔlɔ̌ ghə Yeso ŋwɛnyə gɔm gɑ: O Ta, Cyəpɔ kɛbəŋ ba m sicǎ'; gɑ̌ gho'tə o, nə pa' o tʉ́m nwə bɔ bi mzhyənwə, da' gɑ gə po mkəcɔk po zhyə́. Əŋ m Ta a puŋ bu gɑ a gɔ pɑ po'o.	En cette même heure, Jésus se réjouit en esprit et dit : Je te loue, ô Père, Seigneur du ciel et de la terre, parce que tu as caché ces choses aux sages et aux intelligents, et que tu les as révélées aux petits enfants. Oui, Père, car c’est ce que tu as trouvé bon devant toi.
Ta o lě hɑ guŋ ywə awɛ bəm, bɑ sɔmmo ka nəŋ jyə mo yə Mú bɑ e a tə ně da' Tá, sɔmmo lə nəŋ jyə Tá, tə ně da' Mú, biŋ gə mo yə Mú ghə gɑ e zhyə é a.	Toutes choses m’ont été livrées par mon Père ; et personne ne connaît qui est le Fils, si ce n’est le Père; ni qui est le Père, si ce n’est le Fils, et celui à qui le Fils voudra le révéler.
Biŋ fɛ nə e gɔm bi pɑkhʉ pyə gɑ: Mpuŋtsé mnyə myə a wə jɔ ywə yə po wə jɔ a!	Et se tournant vers les disciples, il leur dit en particulier : Bienheureux sont les yeux qui voient ce que vous voyez!
Nə pa' gɑ siŋ wɔ sɔsɔ̌ gɑ mghɔ́m ghɔ̀m Si ba mfo tə jɔm lə cəŋ nə yɔ ywə yə pǒ wə jɔ a, la' wap yɔ, nə yu' ywə yə pǒ wə ju' a, la' wap yu'. Nə kuŋ Si, nə kuŋ mo yə e bəŋ o a	Car je vous dis que plusieurs prophètes et [plusieurs] rois ont désiré de voir les choses que vous voyez, et ils ne les ont pas vues, et d’entendre les choses que vous entendez, et ils ne les ont pas entendues.
Mu' tadyə nə nə zhyə mco' lə lǔsi dəŋtə e gɔm bi e gɑ: Ta, gɑ gɔ ghə gɑ kɑ tə sɔ' kwi vɔk mama a?	Et voici, un docteur de la loi se leva pour l’éprouver, et dit : Maître, que faut-il que j’aie fait pour hériter de la vie éternelle?
Yeso ghɔm bi e gɑ: A bɑ pu və gɑ kɑ nthʉm mcò' o? O ŋkhe nthʉm o gɑ́ kɑ?	Et il lui dit : Qu’est-il écrit dans la loi ? Comment lis-tu?
E pa' bi e gɑ: O gɔ pɑ kuŋ Cyəpɔ Si o nə guŋ tʉm tsʉ awɛ, nə guŋ lam tsʉ awɛ, nə guŋ gʉ' o awɛ, bɑ nə guŋ mkwɛnyə mu awɛ piŋ kuŋ mo yə e bəŋ o a pa' o ŋkhuŋ thə́ nɑ o a.	Et répondant, il dit : «Tu aimeras le *Seigneur ton Dieu de tout ton cœur, et de toute ton âme, et de toute ta force, et de toute ta pensée»; «et ton prochain comme toi-même»
Pa' Yeso pu a pɑkhʉ pyə́ lə pɑ məjyə e ko nthʉm mu' guŋ, mu' mjwǐ, tso tsyə pɑ Marta lɑ e dyə.	Et il arriva, comme ils étaient en chemin, qu’il entra dans un village. Et une femme nomméeMarthe le reçut dans sa maison.
Mu' fɑ mjwǐ bɔ, tso tsyə pɑ Maria lə cwə dzə cyəpɔ bɑwə ju' ghɔm tsyə.	Et elle avait une sœur appelée Marie, qui aussi, s’étant assise aux pieds de Jésus*, écoutait sa parole;
Marta pa' e lə bɑwə jəzhəŋ nə mfa' dyə a sɔ' gɔm gɑ: Cyəpɔ ja a tə́ po'o bɑwə gə sɔmywə nə o gɑ fɑ a tak guŋ mfa' awɛ bəm do m̀ a lə? Ghɔm bi é gɑ é sɔ' ŋkwitə a.	mais Marthe était distraite par beaucoup de service. Et étant venue à Jésus, elle dit : Seigneur, ne te soucies-tu pas de ce que ma sœur me laisse toute seule à servir ? Dis-lui donc qu’elle m’aide.
Cyəpɔ ghɔm bi e gɑ: Marta, Marta, o bɑwə jwiŋ, bɑ dzɔp nɑ o nə tsə yɔ̌m.	Et Jésus, lui répondant, dit : Marthe, Marthe, tu es en souci et tu te tourmentes de beaucoup de choses,
Tə a pɑwə shəŋ da' ta' ywə yɑmu'. Maria bɑ e cwɔ' yə nthʉɔ, bi a pɑ́ pú lɑ́ kwi bi e.	mais il n’est besoin que d’une seule ; et Marie a choisi la bonne part qui ne lui sera pas
Yeso lə pɑ mu' tyɛ'dzʉ nə mu' tsʉ' bɑ́wə shwyɛ'nyə Si. E lə miŋ nə cwyɛ'nyə Si, mu' mukhʉ e ghɔm bi e gɑ: Cyəpɔ zhi'tə wɔk nə cwyɛ'nyə Si pa' Yohane lə zhi'tə bi pɑkhʉ pyə a.	Et comme il était en prière dans un certain lieu, il arriva, après qu’il eut cessé, que quelqu’un de ses disciples lui dit : Seigneur, enseigne-nous à prier, comme aussi Jean l’a enseigné à ses disciples.
E ghɔm bi pu gɑ: Po pɑ shwyɛ'nyə Si po ghɔm gɑ:Ta, ghə̌ tso tsʉ̌ pɑ dɔlɔ̌. Ghə̌ Nəfo tsǔ sɔ̌'.	Et il leur dit : Quand vous priez, dites : Père, que ton nom soit sanctifié ; que ton règne vienne;
Pɑ hɑ yɔk dəŋ ywətsʉ bǎ nə ya tyɛ'dzʉ lə́	donne-nous chaque jour le pain qu’il nous faut;
Lɑ mhɔ mɔk nə shwyɛ' wɔk nə pa' pyə dɑ mhɔ pyəshɑ pɔ shwyɛ' wap. Kɑ piŋ gɑ mləŋtə ko nə pyə.	et remets-nous nos péchés, car nous-mêmes aussi nous remettons à tous ceux qui nous doivent ; et ne nous induis pas en tentation*.
Mu' mo nə ŋkhənyə pɑ Levi lə pɑ shyə yə́ jɔ é, ŋkwyəpnyə məjyə.	et pareillement aussi un lévite, étant arrivé en cet endroit-là, s’en vint, et, le voyant, passa outre de l’autre côté;
Tə́ mu' yə Samaria lə pɑ gɔ m tə̌m, ŋwak bəŋ mo bɔ, jɔ́ e, mtso myə́ ku e.	mais un Samaritain, allant son chemin, vint à lui, et, le voyant, fut ému de compassion.
e ghɔ tə́ bəŋ e, ŋkwɑ mfiŋ myə́, nə ŋkwɑ nyəŋ mlu' ba mwɑ nə́, ŋkwá é dəm leŋ é, pu e ghɔ dyə mghʉɔ, e nyaptə e.	et s’approcha et banda ses plaies, y versant de l’huile et du vin ; et l’ayant mis sur sa propre bête, il le mena dans l’hôtellerie et eut soin de lui.
Dzʉ lə lɔ̌ e té ŋkháp bɛ pʉə hɑ bi gɛ dyə̌, gɔm gɑ, cʉ' bɑ nə nyaptə e. O sim ŋkhap a cyə pɑ pa', bɑ gɑ ti nə cyə tùŋ.	Et le lendemain, s’en allant, il tira deux deniers et les donna à l’hôtelier, et lui dit: Prends soin de lui; et ce que tu dépenseras de plus, moi, à mon retour, je te le rendrai.
O yɔ yu gɑ ya mo nə pɔ pɔ gɑ pɑtá lě da'tə gɑ e bɑ bəŋ mo yəŋ gɑ yə e lə vʉ nə bu msamshwə a?	Lequel de ces trois te semble avoir été le prochain de celui qui était tombé entre les [mains des] voleurs?
Tadyə jyə mco' ghɔm gɑ: Mo yə e lɑ cɔmmtso myə́ a. Yeso ghɔm bi e gɑ: Ghɔ̌ biŋ ŋkho bɑ gə po'o ba wə yǔ.	Et il dit: C’est celui qui a usé de miséricorde envers lui. Et Jésus lui dit: Va, et toi fais de même.
So e bɔ piŋ nthiŋnyə dyə gɔm gɑ kɑ paknyə a, gɑ é da' jo' dyə, pyə a po pɑ é da' nuŋ kodyə; bi a pɑ́ ŋ də lusi nə hɑ msɛ bu pɑ̀.	et celui qui est dedans, répondant, dira : Ne m’importune pas ; la porte est déjà fermée, et mes enfants sont au lit avec moi ; je ne puis me lever et t’en donner.
Gɑ̌ siŋ wɔ gɑ; e pɑ tə lusi hɑ msɛ bi e pa' e so e a, bɑ e gɔ lusi pa' e nə baknyə e a, hɑ guŋ ywə awɛ bi e.	Je vous dis que, bien qu’il ne se lève pas et ne lui en donne pas parce qu’il est son ami, pourtant,à cause de son importunité*, il se lèvera et lui en donnera autant qu’il en a besoin.
