Sen_fre ,Sen_gho
Et il dit à la femme : Tes péchés sont pardonnés.,Yeso gh?m bi mjwi? b? g?: Pu l? mh?nw? mu? shwy?' o.
"Et ceux qui étaient à table avec lui, se mirent à dire en eux-mêmes : Qui est celui-ci qui même pardonne les péchés ?",P? py? pu a pu l? b?? t?pe a gh?m c?c?? pu g?: Y?? b? w? y? e d? ba mh?nw? p? shwy?' wap a?
"Et il dit à la femme : Ta foi t’a sauvée, va-t’en en paix.","Yeso gh?m bi mjwi? b? g?: Pi?nth?m ó v?k o, gh? n? hwit?."
"Et il arriva après cela*, qu’il passait par les villes et par les villages, prêchant et annonçant** le royaume de Dieu ;","Yeso l? gh? nth?m mtisu? ba m nth?m mgu?, b? g?m nw? n? N?fo Si. Pu a p?kh? py?? shw?pp?? mgham n?? l?? b?."
"et les douze [étaient] avec lui, et des femmes aussi qui avaient été guéries d’esprits malins et d’infirmités, Marie, qu’on appelait Magdeleine*, de laquelle étaient sortis sept démons,","Ba p? jwi? py? e l? y? wap n? mgho, ba n? zhweny? cw?pu? a: Maria y? Makdala y? é l? té mzhweny? cw?pu? s?mb?? n? e a."
"et Jeanne, femme de Chuzas intendant d’Hérode, et Susanne, et plusieurs autres, qui l’assistaient* de leurs biens.","Yohana jwi Shuza ?khónth? Herode, Susana, ba py? sh? py? wap l? d? ts? tsap n? kwit? Yeso pu a p?kh? py? a."
"Et comme une grande foule s’assemblait, et qu’on venait à lui de toutes les villes, il dit en parabole :",P?mn?? l? f? n? mtisu? s?' bi Yeso. Wap l?? p?? shu't? b?? e kwa' v?? e. E l? gh?m t? tút?? g?m bi pu g?:
"Le semeur sortit pour semer sa semence. Et comme il semait, quelques [grains] tombèrent le long du chemin, et furent foulés aux pieds, et les oiseaux du ciel les dévorèrent.","Mu' dz?yw? l? t??m b?? dz?? ts??. Pa' e l? p? dze yw? a, mu' v? gi?ny? m??jy?. P?mn?? n??t?, po?ms?? k?b?? pf?."
"Et d’autres tombèrent sur le roc ; et ayant levé, ils séchèrent, parce qu’ils n’avaient pas d’humidité.","Mu' gwya yw? b? v? d?m gw?', sa', jak shy?, j??m."
Et d’autres tombèrent au milieu des épines ; et les épines levèrent avec eux et les.,"Mu' v? c?c?? mká't?, pu a mká't? p?mt? ?kwy??, mká't? ?kw?."
"Et d’autres tombèrent dans la bonne terre, et ils levèrent, et produisirent du fruit au centuple. En disant ces choses, il criait : Qui a des oreilles pour entendre, qu’il entende.","Mu' gwya yw? b? v? n? ts?' cá' p?pú?, sa', ?kwy?, b? jam nth?m jy? kh?. Yeso l? gh?m po'o n? mi? g?m t? th?? g?: Mo y? e? gh? mt?? n? ju' a é yu'."
"Et ses disciples l’interrogèrent, disant : Qu’est-ce que cette parabole ?",P?kh? py?? h??t? é pá' gh?m b? nthut? a.
"Et il dit : À vous il est donné de connaître les mystères du royaume de Dieu ; mais [il en est parlé]aux autres en paraboles, afin que voyant, ils ne voient pas, et qu’entendant, ils ne comprennent pas.","E pa' bi pú g?: A b? pú le? g? g?? po zhy? càm n? nw? N?fo Si; t?? s?' m n? py? sh? p?, pú p? d? p? gh?m t?? tut?? n?? si? wap. Po'o g? wap y? t? y?, ju' t? yu'.Yeso tút?? gh?m t? tut??"
Or voici ce qu’est la parabole : La semence est la parole de Dieu;,Gh?m t? tut?? b? nthut? g?: Gwya yw? b? Gh?m Si.
"et ceux qui sont le long du chemin, sont ceux qui entendent [la parole] ; ensuite vient le diable, et il ôte de leur cœur la parole, de peur qu’en croyant, ils ne soient sauvés.","P? py? wap b? pa' k?? m?jy? a, b? p? py? wap jú', Sata s?' nthé gh?m b? nth?m t?m pú. Po'o g? wáp k?? pi? s?' bv?k."
"Et ceux qui sont sur le roc, sont ceux qui, lorsqu’ils entendent la parole, la reçoivent avec joie ; et ceux-ci n’ont pas de racine : ils ne croient que pour un temps, et au temps de la tentation ils se retirent.","P? py? wáp b? d?m gw?' a b? p? py? wáp ju' gh?m Si, bi? n?? ?w?ny?; t? b? wáp ka gh? g??, wáp bi? yap p? cw? o, ml??t? cw? t? ?kho n? pu, wap wu? gwa' n? pi?."
"Et ce qui est tombé dans les épines, ce sont ceux qui, ayant entendu [la parole] et s’en étant allés, sont étouffés par les soucis et par les richesses et par les voluptés de la vie*, et ils ne portent pas de fruit à maturité.","Yw? y? a bv? tù? mka't? a, a b? p? py? wap ju' gh?m Si, n? ts?p n?, f?', n? ?w?ny? nth?m dz? fam; la' wap yam nth?m t? a kwy?."
"Mais ce qui est dans la bonne terre, ce sont ceux qui, ayant entendu la parole, la retiennent dans un cœur honnête et bon, et portent du fruit avec patience.","Yw? y? a bv? n? ts?' ca' p?pu? a, p? p? py? wap ju' gh?m Si, n?? t?m d??d??, t??m p?pu?, bí?, b? ?khakt?? jam nth?m a."
"Or personne, après avoir allumé une lampe, ne la couvre d’un vase, ni ne la met sous un lit ; mais il la place sur un pied de lampe, afin que ceux qui entrent voient la lumière.","S?mmo t?? su m?k n? lambu, d? k?p n? pf?pt? p??, k? ny?? k?sikody? p?. E jap d?m kw?' lambu po'o g? p? py? wap g? ko dy? a y? d?l??."
"Car il n’y a rien de secret qui ne deviendra manifeste, ni rien de caché qui ne se connaîtra et ne vienne en évidence.","N? pa' s?myw? y? a t?mny? t? la' pu gh? la' zhy? a, a t? w? p??, s?m cam y? pu t? g? la' tu a, a t? w? p??."
"Prenez donc garde comment vous entendez ; car à quiconque a, il sera donné, et à quiconque n’a pas, cela même qu’il paraît* avoir sera ôté.","Po p?mt? n? nthi pa' po n? ju' nw? a: N? pa' pu g? s?' h? yw? bi mo y? e gh? yw? a. S?' m n? mo y? e ka gh? yw? á, pu kwi ba y? muyw? y? é b??w? ?kw? g? e gh? a."
"Or sa mère et ses frères vinrent auprès de lui ; et ils ne pouvaient l’aborder, à cause de la foule.","Má Yeso pu a mf? py? l? s?' n? c??? e da' g? la' wap k?m b?? e, b? p?mn?? n?? j?m."
"Et cela lui fut rapporté par [quelques-uns] qui disaient : Ta mère et tes frères se tiennent dehors, désirant te voir.",Pu gh?m bi Yeso g?: M?? pu a mf? pu? dz? b?w? sh?? n?? y? ó.
"Mais lui, répondant, leur dit : Ma mère et mes frères sont ceux qui écoutent la parole de Dieu et qui la mettent en pratique.",Yeso pa' g?: Ma á pu a mf? p? b? p? py? wap ju' gh?m Si b? gi? pa' a g?m a.
"Et il arriva, l’un de ces jours, qu’il monta dans une nacelle, et ses disciples [avec lui]. Et il leur dit : Passons à l’autre rive du lac. Et ils prirent le large.","A l? p? mu' ty?'dz?, Yeso pu a p?kh? py? ko nth?m k?nu'. E gh?m bi pú g?: P? sa' g? n? y?mu' j?? m?'ny?. Pu a pu gh?."
"Et comme ils voguaient, il s’endormit ; et un vent impétueux fondit sur le lac, et [la nacelle] s’emplissait*, et ils étaient en péril.","Wap l? p? s?p shy? n? sa', Yeso ti. F??m t?m d?m m?'ny?, ?kwa shy? ny?? nth?m k?nu', nw? p? g? gh? wap."
"Et ils vinrent et le réveillèrent, disant : Maître, maître*, nous périssons ! Et lui, s’étant levé, reprit le vent et les flots ; et ils s’apaisèrent, et il se fit un calme.","Wap gh? b?? Yeso jam e g?m g?: Ta, Ta, p? si g? pf??.Yeso yam, bapt?? f?fa ba fá shy? wap na', ts?' wu? d?t?? g? ka?m."
"Et il leur dit : Où est votre foi ? Mais eux, saisis de crainte, étaient dans l’étonnement, disant entre eux : Qui donc est celui-ci, qui commande même aux vents et à l’eau, et ils lui obéissent ?","Yeso gh?m bi p?kh? py? g?: Pi?nth?m y? h?? Wap pw?k, nw? cy? wap. Wap p? g?m c?c?? pu g?: Y?? b? w? y? e g?m nw? bi f?fa b? m bi shy? wap yu' shw? e a?"
"Et ils abordèrent dans le pays des Gadaréniens, qui est vis-à-vis de la Galilée.",Wap l? k??m k?? shy? nth?m gu? pa Gerasa y? a b? n? y? mu' j?? Galilea a.
"Et quand il fut descendu à terre, un homme de la ville vint à sa rencontre, qui depuis longtempsavait des démons, et ne portait pas de vêtements, et ne demeurait pas dans une maison, mais dans les sépulcres.","Yeso l? fi'si, mu' mo, nth?m m tisu?, mzhweny? cw?pu? p? n? é s?' dz? é. Mo b? la t?? ?kwa dz?? a t? f? t? ty??', e l? n?? b?? dí dy?; e l?? shw? p? nth?m mth?sì."
"Et ayant aperçu Jésus, et s’étant écrié, il se jeta devant lui, et dit à haute voix : Qu’y a-t-il entre moi et toi, Jésus, Fils du Dieu Très-haut ? Je te supplie, ne me tourmente pas.","E l? y? Yeso, s?' bv? n? mkw? my?? shwé t? th?? g?m g?: O kwi k? b?m Yeso Mu Si t?? th? k?b??? S?so k? m?ny? a."
"Et Jésus lui demanda, disant : Quel est ton nom ? Et il dit : Légion ; car beaucoup de démons étaient entrés en lui.",Yeso h??t? b? b? g?: Tso tsu b? w?? E pa' bi e g? j?my??m n?? pa' mzhweny? cw?pu? l? b? n? e t? j?m a.
Et ils le priaient* pour qu’il ne leur commandât pas de s’en aller dans l’abîme**.,Wáp l? cwy?'ny? Yeso g?? e k? gh? wap ko ts??m.
"Et il y avait là un grand troupeau de pourceaux paissant sur la montagne, et ils le priaient de leur permettre d’entrer en eux ; et il le leur permit.",Mu' m? ka mg?n?m l? b? ku?go ts?'u b?w? pf?? mghe. Mzhweny? cw?pu? b? cwy?'ny? Yeso g? e pi? g? wap ko n? po? mg?n?m b?. E pi?.
"Et les démons, sortant de l’homme, entrèrent dans les pourceaux, et le troupeau se rua du haut de la côte dans le lac, et fut étouffé.","Mzhweny? cw?pu? t?m n? b? b?, ?kho n? mg?n?m. Ka mg?n?m, ke?ny? n?? mk?k?? bv?t? nth?m shy? m?'ny?, npf??t??."
"Et ceux qui le paissaient, voyant ce qui était arrivé, s’enfuirent, et le racontèrent dans la ville et dans les campagnes.","P? py? wap l?? b?w? byap mg?n?m b? a l? n?? y? yw? y? a shy? a, ?kh? gi? s? nw? b? tisu? b? m nth?m gu?."
"Et ils sortirent pour voir ce qui était arrivé, et vinrent vers Jésus, et trouvèrent assis, vêtu et dans son bon sens, aux pieds de Jésus, l’homme duquel les démons étaient sortis ; et ils eurent peur.","P?mn?? l? s?' n? y? yw? y? a shy? a. Wap l? ?wak b?? Yeso, j? mo y? mzhweny? cw?pu? nth?m n? e a, b? e cw? b?? e, dz? p? n? e, zhy?nw? e p? b? a s?' bi e cw?l? kwa' p?pu?. Wap pw?k."
"Et ceux qui avaient vu [ce qui s’était passé], leur racontèrent aussi comment le démoniaque avait été délivré.","P? py? wap la' j? pa' a shy?t? a, si? wap pa' g? mzhweny? cw?pu? la' n? j? a."
"Et toute la multitude du pays environnant des Gadaréniens, pria Jésus de s’en aller de chez eux, car ils étaient saisis d’une grande frayeur : et lui, étant monté dans la nacelle, s’en retourna.","A p?? po'o, p? Gerasa cwy?'ny? Yeso g? é gh?, n? pa' wap l? b?w? bw?k te'. Yeso l? ko? nth?m k?nu' n?? g?."
"Et l’homme duquel les démons étaient sortis, le supplia [de lui permettre] d’être avec lui ;","Mo y? mzhweny? cw?pu? nth?m n? e a, h??t? e g? e g? wu? b?? e. Da' g? Yeso la'ny? é g?m bi e g?:"
"mais il le renvoya, disant : Retourne dans ta maison et raconte tout ce que Dieu t’a fait. Et il s’en alla, publiant par toute la ville tout ce que Jésus lui avait fait.","P?ny? la' o, ?kho si? p?mn?? yw? y? Si g? n? o a. B? b? p?ny?, shyany? yw? y? Yeso g? n? e a nth?m gu? tisu? aw?."
"Et quand Jésus fut de retour, il arriva que la foule l’accueillit, car tous l’attendaient.","Yeso l? n? p?ny?, v?? p? p?w? byap é. Wap l? e."
"Et voici, un homme dont le nom était Jaïrus, — et il était chef de la synagogue, — vint, et se jetant aux pieds de Jésus, le supplia de venir dans sa maison,","A p? po'o mu' mo s?', tso tsy? p? Yairos. E p? tady? sinagog?. E l? s?' bv? n?? mkw? Yeso, shwy?'ny? e g? e s?' yw? e."
"car il avait une fille unique, d’environ douze ans, et elle se mourait. Et comme il s’en allait, les foules le serraient.","N? pa' mú e, ?kwi mú e mjwi?, gu' shw?pp?? mgham l?? b?w? g? pf?pf?. Yeso l? p? g? m w??, p?mn?? p? nth?ny? e,"
"Et une femme qui avait une perte de sang depuis douze ans, et qui, ayant dépensé tout son bien en médecins, n’avait pu être guérie par aucun,","mu' mjwi? b? pa' mcy? p?? nth?m n? e á a? gh? gu' shw?pp?? mgham, b? e sím gu? y?? yw? aw? w?? mg?g??, la' s?mmo y?? é."
s’approcha par derrière et toucha le bord de son vêtement ; et à l’instant sa perte de sang s’arrêt.,"E l?? s??' nth?m m j??m Yeso, ?kwak pu e n? dz? Yeso, mcy? ya' n? t?m n? é."
"Et Jésus dit : Qui est-ce qui m’a touché ? Et comme tous niaient, Pierre dit, et ceux qui étaient avec lui : Maître*, les foules te serrent et te pressent, et tu dis : Qui est-ce qui m’a touché ?",Yeso gh?m g?: W?? kwak a? S?mmo l? pi?. P?tr? gh?m g?: Ta a b? p? py?? wap b?w? nth?ny? bi? hyapny? o a.
"Et Jésus dit : Quelqu’un m’a touché, car je sais qu’il est sorti de moi de la puissance.",Yeso gh?m g?: Mo? kwak a. G?? yú' b? mu' g?' t?m n? m.
"Et la femme, voyant qu’elle n’était pas cachée, vint en tremblant, et, se jetant devant lui, déclara devant tout le peuple pour quelle raison elle l’avait touché, et comment elle avait été guérie instantanément.","Mjwi? b? y? g? pu zhy? e. E s?' n? v? n? mkw? Yeso, b? s??. Si? Yeso dz?? gu? p? aw? yw? y? a g? t?? e kwak e, ba pa' e ?kwak é gu? j? a."
"Et il lui dit : Aie bon courage*, [ma] fille ; ta foi t’a guérie** ; va-t’en en paix.","Yeso gh?m bi e g?: Gò a, pi?nth?m o v?k o, gh? n? hwit?."
"Comme il parlait encore, il vient quelqu’un de chez le chef de synagogue, lui disant : Ta fille est morte, ne tourmente pas le maître*.",Yeso l? p? g?m po'o mu' mo f?? yw? Yairos tady? msinagog? g?m bi e g?: Gò o pf??. K? pi? bakny? Ta.
"Et Jésus, l’ayant entendu, lui répondit, disant : Ne crains pas, crois seulement, et elle sera sauvée.","Yeso yu', g?m bi Yairos g?: K? pw?k. Pi? pi?, e g? y?."
"Et quand il fut arrivé à la maison, il ne permit à personne d’entrer, sinon à Pierre et à Jean et à Jacques, et au père de la jeune fille et à la mère.","Yeso l? ?wak w? Yairos, e l? pi? g? pu s?mmo p?mt? ?kho dy? t? ne? da' P?tr? pu Yohane ba Yakop bi? g? ta mú pu ma mú."
"Et tous pleuraient et se lamentaient sur elle ; et il leur dit : Ne pleurez pas, car elle n’est pas morte, mais elle dort.","Gu? p? aw? l?? b?w? d??, b?w? dz?p n? tsap n? mú b?. Yeso gh?m g?: Ka po l?; e ka pf??, é diti."
"Et ils se riaient de lui, sachant qu’elle était morte.","Wap y?mt? Yeso, n? pa' wap l?? b?w? jy?? g? e? pf??."
"Mais lui, les ayant tous mis dehors, et l’ayant prise par la main, cria, disant : Jeune fille, lève-toi.","Yeso t?m pu e, ?khe e g?: Mú a? ya?m!"
"Et son esprit retourna [en elle], et elle se leva immédiatement ; et il commanda qu’on lui donnât à manger.","Zhweny? e p?ny? n? é, e wu? du si. Yeso gh?m g? pu h? yw?ts? bi e."
Et ses parents étaient hors d’eux ; et il leur enjoignit de ne dire à personne ce qui était arrivé.,Nw? cy?? tap e pu map e. T? Yeso co' bi pu g? wap k? si? s?mmo yw? y? a shy? a.
"Et ayant assemblé les douze, il leur donna puissance et autorité sur tous les démons, et [le pouvoir] de guérir les maladies.",Yeso l? cu't? p?kh? py?? shw?pp?? mgham h? g?' ba t?? bi pu n?? n? j??? gu? mzhweny? cw?pu? aw? ba n? n? j? mgho.
Et il les envoya prêcher le royaume de Dieu et guérir les infirmes;,"E l?? t?m wap g?? wap gh? shyany? nw? N?fo Si, b? j? mgho."
"et il leur dit : Ne prenez rien pour le chemin, ni bâton, ni sac, ni pain, ni argent ; et n’ayez pas chacun deux tuniques.","Bi?? g??m bi pu g?: Ka po n? gh? d? s?myw?, k? p???, k? p???, k? yw?ts?, k? ?kha?p l?, ka s?mmo gh? dz?? y?p??."
"Et dans quelque maison que vous entriez, là demeurez, et de là partez.","Po ko ba? n? ya dy? l?, po cw? p? w?? t? da' g??."
"Et tous ceux qui ne vous recevront pas,… en sortant de cette ville-là, secouez même la poussière de vos pieds, en témoignage contre eux*..","Tisu? y? po ko n? la' pu l? w? a, po n? gh? dz?p ca' n? mkw? m?, a p? y? n? kwinth? n? pú."
"Et, partant, ils parcouraient tous les villages, évangélisant et guérissant partout.","Wap l? gh?, b? gi? nth?m mla', b? si? Cu? P?pu?, bi? b? j? mgho."
"Et Hérode le tétrarque ouït parler de toutes les choses qui étaient faites par lui ; et il était en perplexité, parce que quelques-uns disaient que Jean était ressuscité d’entre les morts ;","A l? p?? po'o, fo Herode yu' y?? nw? y? á b?w? shy?? a nw? zh?m é; n? pa' sh? p? l? b?w? g?m g?? Yohane yám n? v??."
"et quelques-uns, qu’Élie était apparu ; et d’autres, que l’un des anciens prophètes était ressuscité.",Sh? p? p?w? g?m g? á b? Elia pi? s??'. Sh? p? gh?m g? a b? mu' g?m gh?m Si pi? jám n? v??.
"Et Hérode dit : Moi, j’ai fait décapiter Jean ; mais qui est celui-ci, de qui j’entends dire de telles choses ? et il cherchait à le voir.","Herode gh?m g?, a b? de? g? pu ya' th? Yohane p? kwa' my??. Mo y? g?? ju' pu p? g?m y?? ti? nw? n? é a b? w?? E l? gh?m po'o b? sh??? jy? n?? n? y? é."
"Et les apôtres, étant de retour, lui racontèrent tout ce qu’ils avaient fait. Et les prenant avec lui, il se retira à l’écart dans un lieu désert d’une ville* appelée Bethsaïda.","P?kh? Yeso l? p?ny? si? e gu? yw? y? wap g? á aw?. E l? wáp, pu a pú gh? m Betsaida ts?' tsi?."
"Et les foules, l’ayant su, le suivirent. Et les ayant reçus, il leur parla du royaume de Dieu, et guérit ceux qui avaient besoin de guérison.","P?mn?? l?? zhy?, jap j??m pu. Yeso l? wap, si? wap nw? n? N?fo Si bi? j? wap."
"Et le jour commença à baisser ; et les douze, s’approchant, lui dirent : Renvoie la foule, afin qu’ils aillent dans les villages et dans les campagnes d’alentour, et s’y logent et trouvent des vivres, car nous sommes ici dans un lieu désert.","Dz? l? to' n? pwa, P?kh? Yeso shw?pp?? mgham s?' b?? e g?m bi e g?. Tak p?mn?? n??? wap gh? nth?m gú? sh?? yw?ts? ba ts?' y? wap g? ti n? a, n? pa' ts??' si b? ghak ts?' a."
car ils étaient environ cinq mille hommes. Et il dit à ses disciples : Faites-les asseoir par rangs de cinquante chacun.,Yeso gh?m bi p?kh? py? g?: Po gh?? wap cw?t? si p? mgha?mth? mgha?mth?.
"Et ils firent ainsi, et les firent tous asseoir.","Wap l? gh? po'o, p?mn?? cw?t? si aw?."
"Et ayant pris les cinq pains et les deux poissons, et regardant vers le ciel, il les bénit, et les rompit ; et il les donna à ses disciples pour les mettre devant la foule.","Yeso l? kwi ms?? mta' t? ba bapgu du? p??, b?' mny? k?b??, ny?? byany? n??, bo't?, h? bi p?kh? py? g? wap ghapt? bi p?mn??."
"Et ils mangèrent tous et furent rassasiés ; et de ce qui leur était resté de morceaux, on ramassa douze paniers.",P?mn?? l? pf? yw? t? jwy?; pu lak bo' ts? n? msap shw?pp?? mgham.
"Et il arriva, comme il priait à l’écart, que ses disciples étaient avec lui. Et il les interrogea, disant : Qui disent les foules que je suis ?","Yeso pu a p?kh? py? l? p?? ts?' tsi? b? shwy?'ny? si, e h??t? wáp g?: P?mn?? g?m g? g?? b? w???"
"Et répondant, ils dirent : Jean le baptiseur ; et d’autres : Élie ; et d’autres, que l’un des anciens prophètes est ressuscité.","Wap pa' g?: Sh? p? g?m g? o b? Yohane nu' p? shy?, sh? p?? g?m g?? o b?? Elia. Py? sh? p? g? o b? mu' g?m gh?m Si b? e yám n? v??."
"Et il leur dit : Et vous, qui dites-vous que je suis ? Et Pierre, répondant, dit : Le Christ de Dieu !","Yeso h??t? wap g?: S?' m n? po, po g?m g? g?? b? w?? P?tr? gh?m g?: O b? Kristo Si."
"Et s’adressant à eux avec force, il leur commanda de ne dire ceci à personne,",Yeso co' bi pu g? wap k? si? s?mmo.
"disant : Il faut que le fils de l’homme souffre beaucoup, et qu’il soit rejeté des anciens et des principaux sacrificateurs et des scribes, et qu’il soit mis à mort, et qu’il soit ressuscité le troisième jour.","Bi? g?m g?: Mú mo g? y?go' t?', mgh?tso ba mtady? mkamsi pu a p? zhy? mcò' wa' e, pu zhw? e, a p? bat? ty?'dz? y?tá e yám n? v??."
"Et il disait à tous : Si quelqu’un veut venir après moi, qu’il se renonce soi-même, et qu’il prenne sa croix chaque jour, et me suive:","E l? pi? g?m bi gu? yap aw? g?: Mo p? g? yap j??m m?, e k??ny? th? n? e, bi? ?kwa y? b?ny?p?ny? n? jap j??m m? gu? mty?'dz? aw?."
"car quiconque voudra sauver sa vie la perdra* ; et quiconque perdra* sa vie pour l’amour de moi, celui-là la sauvera.","Mo y? e? c?? n? v?k v??k é a g? pi, mo y? e pi v?k e n? th?? a? g? s?' v?k."
"Car que profitera-t-il à un homme de gagner le monde entier, s’il se détruit* lui-même ou se perd lui-même ?","A po'o bi a p? mo ny?? gu? dz? aw? p?? e t? bi v?k, k? sa't? v?k e l? b? a g? kwit? e m k??"
"Car quiconque aura honte de moi et de mes paroles, le fils de l’homme aura honte de lui quand il viendra dans sa gloire et dans celle du Père et des saints anges.","Mo y? e? kuso n? m? ba n? gh?m ts?? a, b? Mu mo g? s?' kuso n? e n? cw? y? e g? s?' s?' nth?m ghu't? e, ba y? Tap e pu a p? a?g?le d?l?? a."
"Et je vous dis, en vérité, que de ceux qui sont ici présents, il y en a quelques-uns qui ne goûteront point la mort jusqu’à ce qu’ils aient vu le royaume de Dieu.","G?? si? w? kwa' ny?ny? g? sh? p? c?c?? p? py? wap ts?' á, t? g? s?' pf?? t? y? N?fo Si p?."
"Et il arriva, environ huit jours après ces paroles, qu’il prit avec lui Pierre et Jean et Jacques, et qu’il monta sur une* montagne pour prier.","A l? n? cy? ty?'dz? h??m pá' Yeso g?m m? mnw? a, e l? P?tr?, ba Yohane pu Yakop pu a pu gh? d?m ku?go n? cwy?'ny? Si."
"Et comme il disait ces choses, une nuée vint et les couvrit* ; et ils eurent peur comme ils entraient dans la nuée.",E l? p? g?m po'o mlwa t?m sam p? b?. P?kh? Yeso n? y? pa' mlwa sam wap a bw?k te' ó.
"Et il y eut une voix venant de la nuée, disant : Celui-ci est mon Fils bien-aimé, écoutez-le.","Wap yu' gi mo nth?m mlwa gh?m g?: Mo y?? g? b? Mú a, b? g? cw?' e. Po yu'ny? é."
"Et la voix s’étant fait entendre, Jésus se trouva seul. Et ils se turent, et ne rapportèrent en ces jours-là à personne rien de ce qu’ils avaient vu.","Wap l? n? yu' gi mo po'o, bi? j? p?? da' Yeso do é. P?kh? py? l?t? g? ka?m. Wap l? si? s?mmo yw? y? wap j?? a cw? o b?."
"Et il arriva, le jour suivant, quand ils furent descendus de la montagne, qu’une grande foule vint à sa rencontre.","Dz? l?? l?, wap fi' d?m ?khu? g??. P?mn?? t? j?m s?' dz? Yeso."
"Et voici, un homme de la foule s’écria, disant: Maître*, je te supplie, jette les yeux sur mon fils, car il est mon unique.","Mu' mo c?c?? v?? p? gh?m t? th?? g?: Ta, s?so ma' mny? mu? n? mú a y???. E b? p? du? e do é b?m."
"et voici, un esprit le saisit; et soudain il crie; et il le déchire, en le faisant écumer; et c’est à peine s’il se retire de lui après l’avoir broyé.","Mu' zhweny? cw?pu? ?kho n? é. E cwe, s?t?? mny?, s?? mk?kak, n? t?m n? e a t??, n? t?m b? e pwa."
"Et comme il priait, l’apparence de son visage devint tout autre, et son vêtement devint blanc [et] resplendissant comme un éclair;","Yeso l? p? shwy?'ny? Si, s? e s?ny??, dz? e f?k d??ny?l??ny?."
"et voici, deux hommes, qui étaient Moïse et Élie, parlaient avec lui.",Pu y? sh? p? p?p?? pu a pu p? w? g?mt?. A l? b? Mos? pu Elia.
"Et il arriva, comme ils se séparaient de lui, que Pierre dit à Jésus: Maître, il est bon que nous soyons ici; et faisons trois tentes: une pour toi, et une pour Moïse, et une pour Élie, ne sachant ce qu’il disait.","P? b? pu a Yeso l? n? hapny?, P?tr? gh?m bi e g?: Ta, a pu? n? p? ts?'?; p? zh?k mpf? ts?'? m?ntha: Yu?, y? Mos? ba y? Elia. E l? g?m po'o t? p?w? jy?? yw? y? e g?m a."
"Yerusal?m a lesquels, apparaissant en gloire, parlaient de sa mort qu’il allait accomplir à Jérusalem.",B? wap ?wak nth?m ghu't??. Wap l? b?w? g?m pa' cw? y? Yeso g? p?ny? a si g? ku'.
"Et Pierre et ceux qui étaient avec lui étaient accablés de sommeil; et quand ils furent réveillés, ils virent sa gloire et les deux hommes qui étaient avec lui.","P?tr? pu a mso py? l? b?w? g??ny? lw?k. Wap l? cw? t? ja?m, j? ghu't?? Yeso ba p? p?p?? py? pu a pu l?? b??w? g?m a."
"et j’ai supplié tes disciples de le chasser, et ils n’ont pas pu.","G?? cwy?'ny? p?kh? pu?, g? wap zh?? zhweny? b?, la' wap gh? jy??."
"Et Jésus, répondant, dit: Ô génération incrédule et perverse, jusques à quand serai-je avec vous et vous supporterai-je ? Amène ici ton fils.","Yeso gh?m g?: Gwya ms?k t??m, p? t?? gh? pi?nth?m, p? cw?pu?. P? g? pi? cw? d?? pa' po p? dzá n? m?? L? mu o n?? s?'."
"Et encore, comme il approchait, le démon le renversa et le tourmenta violemment; mais Jésus tança l’esprit immonde, et guérit l’enfant, et le rendit à son père.","Mu l? p? s?', zhweny? b? ma' e si. Sh?'ny? e m bò. Yeso c?k zhweny? cw?pu? b?, j? mu b?, h? e bi tap e."
"Et tous furent étonnés de la grandeur de Dieu. Et comme tous s’étonnaient de tout ce que Jésus faisait, il dit à ses disciples:","Gu? p? aw? y? pa' g?' Si b? a t?? a, a sya wap. Yeso si? n? bat? m c?m b?? g? e g? y?go'Wap l? p? ?w?ny? n? gu? ts? tsy?, Yeso l? g? a, e gh?m bi p?kh? py? g?:"
"Vous, gardez bien ces paroles que vous avez entendues, car le fils de l’homme va être livré entre les mains des hommes.",Po c??t? ju' yw? y? g? g? gh?m bi po a: Pu g? h? mu mo n? bu p?mn??.
"Mais ils ne comprirent pas cette parole, et elle leur était cachée, en sorte qu’ils ne la saisissaient pas ; et ils craignaient de l’interroger touchant cette parole.","Da' g? la' p?kh? py? yu' yw? y? e b?w? g?m bi pu a, b? a? t?mny? n? zhy?nw? yap. Wap pi? bw?k n? h??t? e nw? n??."
"Et il s’éleva au milieu d’eux une question, [à savoir] lequel d’entre eux serait* le plus grand.",P?kh? py? l? p?? f??ny? c?c?? pu n? zhy? mo gwy? n? pú.
"Mais Jésus, voyant la pensée de leur cœur, prit un petit enfant, et le plaça auprès de lui;","Yeso zhy?? yw? y? wap l? b?w? ?kw? a, ?khe mu' múyw? mú jap e b?? e."
"Et Jean, répondant, dit :Maître, nous avons vu quelqu’un qui chassait des démons en ton nom, et nous le lui avons défendu, parce qu’il ne [te] suit pas avec nous.","Yohane gh?m g?: Ta, py? y? mu' mo e p?w? d?? tso tsú j?? mzhweny? cw?pu? py? c??? n?? k? bi é, n? pa' t? py? a pu n? b?mt? b? j?m o p?."
"Et Jésus lui dit: Ne le lui défendez pas*, car celui qui n’est pas contre vous est pour vous.",T?? Yeso gh?m g?: Ka po k? bi e n? pa' mo y? e t? b? g? bo y? a p? b? so y?.
"Or il arriva, comme les jours de son assomption s’accomplissaient, qu’il dressa sa face résolument pour aller à Jérusalem.","Cw? y? Yeso l? b? g? t?m nth??m dz?? l? ku' a, e yap g? e g? gh? Yerusal?m."
