Mə	I
Ndǎmnjʉ	Jump tp tomorrow
Coʼ tɔndα 	Open the window 
Yaŋbǎʼ dun tsə 	The car is full 
Bò à’ nɛ̌n yub	They too will go
À bə α̂ zîd sofǎ’?	Which hoe is it?
Zîd ka li ὰ?	Which pan is it?
Zîd Cαbcə̀l ὰ?	Which tchaptchet
Ŋ̂ , mə ngôn ὰm 	Yes my daughter 
O bə α̂ mɛ̀nnzwi  	You are a woman 
Zizi cobtə tǔtǔ 	Zizi scold tutu 
Mǒ’ mɛ̀n	The other person
À nâ' bə mbwə̀	Once upon a time
Ko ndɛ̀n mάm	Have pity for me
Fǎ’ mǐ	work is finished
A miagtə̌ mə̀bwɔ	He finished well
Njàmtɔ	Back of the neck
Tɔ̌bu	Palm of the hand
Tǔnkù	Sole of the foot
Nshùmmα α Ndayo	My brother Ndayo
À kə̂’ sə̀’	She has not come
Fʉ̌n tɔndα 	Close the window 
Tswə mə̀bwɔ 	Have a good stay 
Mə bə α̂ mαndùm 	I am a gentleman 
Mə ghʉ̌ fə̂coʼnguʼu 	I have a diploma 
Mə ghʉ̌ tûnzwə 	I have tee-shirt 
Mə̌ kɔ̂ ngàcàgtə̀ 	I love the leader
Yαm jûntαn bə α̂ kə̀nà 	I market peanuts 
Mə cʉǎ yὰm làŋtə̀	I passed my exam 
Mə càʼtə̌ tα α̂ 	I salut my daddy 
Mə càʼtə̌ mα α̂ 	I salut my mummy 
Mə sog α̂ tɛ̌dndα 	I wash the floor 
Mə sog α̂ zǐnkətoʼo 	I wash the socks 
Mə̀ kə nɛ̀n cαm	Me, i will not go
Yαm nzwə fàgtə̌ 	My cloth is torn 
Nyα̌ŋtû cαm sɛn 	My hair is black 
Zǐ kum sαm lαn 	My knit is clean 
Bαg ghʉ̌ tǔnndα 	We have a family 
À bə α̂ sîd fǔ li ὰ?	Which drug is it?
À bə α̂ sîd cǎŋ ni ὰ?	Which food is it?
Ŋ̂ mə ngòn ὰm 	Yes, my daughter 
Mɛ̀n ghuα	A different child
Fα mbwə o mə̀	Give me the first
Nə̀ tə nǔ yû mɛ̀n	To accuse someone
bǎg wud	parts of the body
Ngònmα α Djadjeu	My sister Djadjeu
À nǔm ngônə̄	He is always sick
O zi lα tα? 	Good morning daddy
Nkə̂bnjʉ̂ mə̀bwɔ̂ mbǎ tα 	Good morning daddy
Nkə̂bnjʉ̂ mə̀bwɔ̂ mbǎ mα 	Good morning madam
Zi mə̀bwɔ̂ mbὰ 	Good night to you 
Zi mə̀bwɔ̂ mbὰ	Have a sound sleep
Bu i be’	His hand is broken
Cɔ è bə α̂ ndʉ̂kə? 	How are the news? 
Zìn cɔ̂ bə α̂ ndʉ̂kə? 	How is your news? 
Mə yαb α̂ bǎm nsi 	I put down my bag 
Mə kə njən nzə α̂ lαg 	I see with an eye 
Mə beʼtə α̂ tɛ̌dndα 	I sweep the floor 
Mə juʼ kwaʼ mə̀bwɔ 	I understood well 
Mə sog α̂ nka 	I wash the plates 
Mə sog α̂ ndùʼ 	I wash the spoons 
Mə sǒg nzwə	I washed the dress
Mvɛ̀n αm bə α̂ njàm 	My back is behind 
Tǔnndα̂ αm nûm nkɔ αm 	My family love me 
Mbʉ̂ ʼ bu, sə̌ ʼ mə̀bwɔ 	Welcome mbʉ̂ ʼ bu 
À bə α̂ zîd mɛn ni ὰ?	Which child is it?
Mbwə̀ Swatə̂ncobə	First conversation
Mə cà’tə̀ o lα ɔ̀	I greet you there!
Kə̀mbuʼtuʼ bô biha 	Banana and avocado 
O lò’ yu ke?	Did you take yours?
Kα̂ kwag cobə	Do not touch theirs
Bα̂nnkwʉ bə α̂ cʉ̀αncù 	Fufu is appetizing 
Nkə̂bnjʉ̂ mə̀bwɔ̂ mbǎ mα 	Good morning mummy 
A yə bon	He saw the children
À kə nɛ̀n tsə́	Him, he will not go
Mə̌ kɔ̂ ngàcàgtə̀ 	I admire the leader
Mə kə njʉ caŋ α̂ ncu 	I eat by the mouth 
Mə càʼtə̌ tα α̂ 	I greeted my daddy 
Mə càʼtə̌ nzə̀ ὰm 	I greeted my elder 
Mə càʼtə̌ mα α̂ 	I greeted my mummy 
Mə̌ ghʉ̌ bα̌m ŋwàʼnì 	I have a school bag
Mə nǔm njuʼ ncù	I know how to obey 
Mə kə ntòŋ  nù α̂ ntòŋ 	I listen with ears 
Mə tswə̂ nsi njʉ caŋ 	I sat down and ate 
Mə sog α̂ ləd 	I wash the glasses 
Mə sǒg nka	I washed the plates
A kə̂ ʼ zin 	Is not functionning
Tα α bə α̂ mɛnmαndùm 	My father is a boy 
Mα α bə α̂ mɛ̀nnzwi 	My mother is woman 
Mbuʼnzwə ghàntsi 	Old basket cabinet 
Koʼ mə̀bwɔ̂ mbα 	Rises well my dear 
Tôʼmù bə bwə lα 	There is a living  
Kα̌ŋ nzəndα 	Turn the door flap 
Yə̂n mfà’fà’ li bə α̂ wə?	Who is this worker?
Zìn cɔ̌ fi ὰ? 	Your news is good? 
Zə̀ vògtə̀ bwɔ̌	His welcome is good
Nɛ̀n ntatə yubə	Go and welcome them
Nə̀ bɛdtə làgtə̀	Ask for forgiveness
Mə nu α̂ ntsə 	I am drinking water 
Mə̌ nɛ̀n α̂ ŋwàʼnì 	I am going to school
Mə lα̌b mfə̀n	I bowed to the chief
Mə̀ nǔm nɛ̂n ŋwàʼnì 	I often go to school
Kwì’tə̌ yὰm nə̀kutu me tα̂	Increase my boldness
Ntsəʼtə̀yoŋncʉ̌ ʼ tα̂mnguʼ 	Meeting once a year 
Nshùm tα α bod tsə 	My brother is tired 
Tα α ghʉ̌ nkoŋkə̀nà 	My father has boots 
Sɔ sαm coʼ tsə 	My tooth is removed 
Mα̂mbαn cʉb Ngàkoʼ 	Ngàkoʼ has abscess 
Saʼmbûʼu fəd nə̀ta 	The crow flies hard 
Kûʼkǎ nǔm njogə 	The macabo   itches 
Ka kə̂’ lαn	The pan is not clean
Cə̂n bə̀lòŋ dîn	Those sweet potatoes
Bαg ghʉ̌ nəsɛ̂n mbʉ  	We have a black dog 
Ò kə nɛ̀n có	You, you will not go
Tɛdtswəʼ, mə zi 	At night i will sleep
Mbα wəlò bô zè ngàtswitə̌ 	Each with his teacher
A cʉα̂ ncù u mbὰ 	Good appetite to you 
A cʉα̂ ncù u mbα 	Good appetite to you 
Cαbcə̌d jʉ caŋ ke?	Has tchaptchet eaten?
O lò’ yu ke?	Have you taken yours?
Mə̌ fə α̂ ŋwànì	I am back from school
Mə kɔ̌ mα α zə̀ ndʉb 	I have a grandfather 
Mə bə’ bu αm	I have broken my hand
Mə̌ ghʉ̌ nzwə̂ ŋwànì	I have school uniform
Mə lɛn kà mbὰ kə̀sò  	I know kà and kə̀sò 
Mə̌ kɔ̂ ngàcàgtə̀ 	I love the headmaster
Ncʉὰmbwə ὰm bə α̂ nzə̀ ὰm 	My elder is my uncle 
Mα α ghʉ̌ lα̂mtu  	My mother has a scarf
Saŋtəwud cʉb mα α 	My mother has malaria
Ngôn mα α ghʉ̌ kὰbὰ 	My sister has a dress
Ngôn mα α bə α̂ mɛ̀nnzwi 	My sister is a woman 
Nzwi αm cwɛ̌d ngôn bə̂ nə ghonə 	My wife is still sick
Ntʉ̂ʼnjàm αm bə α̂ mɛ̀nnzwi 	My younger is a girl 
Wʉd ghʉ̌ ntû mbu 	The body has fingers 
Tu ghʉ̌ ncù 	The head has a mouth 
Cɔ è kə̂ ʼ fi 	The news is not good 
Ngàtswǐtə̌ tɔ ndɔ 	The teacher whistled 
Nguαntαn nkə nkα̂ŋtə 	Thieves are prowling 
À bə α̂ sîd fǔ li ὰ?	Which medicine is it?
À bə α̂ mîd nsɔ̌ nkə nja i α?	Which teeth hurt him?
O ghʉ̀ co sî’i?	How many do you have?
á kɔ̌ nə̀kə́b cwɛ́n	he likes cutting wood
Mɛ̀nntʉ̌n ghʉ̌ nkù mbαhα  	A person has two feet 
Kǐ ju mə̀bwɔ mbὰ 	Have good handwritten 
Mə̌ à' nɛ̌n ntsə 	I must go to the water
Mbu mαm nkə nkî ju 	I write with my hands 
Ghǎŋwàʼnǐ tsin nka 	Students are in a row 
Wʉd ghʉ̌ mbu mbαhα 	The body has two arms 
Tu ghʉ̌ ntoŋ mbαhα 	The head has two ears 
Tu ghʉ̌ miαg mbαhα 	The head has two eyes 
Ŋaŋom fɛd mbwə̂ yαg 	The hyena ate our goat
Cɔ̌ fi kwàʼ mə̀bwɔ 	The news is very good 
Ŋwàʼnǐ mǐ 	The school is finished
Ghǎswɛ̌n ghaʼmbu 	There are many sellers
Bìn sôg nzwə cənni fa	Wash all these dresses
Bαg fə coʼ α̂ cù 	We are from harvesting
Bαg nɛn α̂ ŋwàʼnì 	We are going to school
Lα̂ʼ sαg bə α̂ lα̂ʼntu 	We are in a big family
Bαg bə α̂ ntʉ̂m nguʼswə 	We are into a new year
Ndu ǔ sə̀’ə	Your husband  has come
Nə̀co ntʉ̂m flànsi	introduction in french
Mbu mαm nkə nsôg ju 	It is my hands washing 
Mbu mαm nkə mfα̂ʼmfàʼ 	It is my hands working 
Ò nɛ̀n α̂ ŋwànì 	Are you going to school
Ngʉnmfə̀n kə̂ʼ bwɔ 	Chickenpox is not good 
Kα̂ kə ntɔ fîn tɛdtswəʼ 	Do not whistle at night
Yog mə̀bwɔ mbǎ mfɛ̂l ὰm  	Good evening my brother
Yog mə̀bwɔ mbǎ Ngǒnncò 	Good evening ngǒnncò 
Mə̌ kɔ̂ ngàcàgtə̀ 	I admire the headmaster
Mə kə̂ ʼ bə tanǎ mɛ̀n 	I do not defame anyone 
Mə kə ncobtə α̂ ncu 	I speak with the mouth 
Tα α ghʉ̌ bὰ cə̀ʼ 	My father has a red cap
Tα α ghʉ̌ nsὰ cə̌ʼnkù 	My father has a trouser
Tα α zə njàm bod 	My grandfather is tired
Mα α fα caŋ mə̀	My mum gave me the food
Bǎm ŋwàʼnì αm lɛ̀lə 	My school bag is heavy 
Bàm sαm bə α̂ mbwə̀	My stomach is in front 
Ntʉ̂ʼnjàm αm tamnsi 	My younger brother fell
Kòŋbǎm cʉb mɛn 	The child has diarrhea 
Mɛn zə᷅ mə̀ yə̂n nα cwɛ̌d ngônə	The child i saw is sick
À nɛ̂n dʉ̀’ ghuα	He should go else where
mə kə jən nα’	I have not seen the cow
Mfê’kù	Interstice between toes
Ò nɛ̀n α̂ yα?	where are you going to?
A yə bon	He has seen the children
A ghə̌d bὰm i tʉ 	He suspended his back up
Zə̀ nəfɛ̌nntʉ bwɔ̌	His courage is admirable
Yαg ntα̂nbwə zi 	Our goat seller is rich 
Fə̌ ʼmbwog yα̌g ghʉ̌ nkǒʼndα 	Our kitchen has shelves 
Kα̂bzib, ngʉαyən, nkwêfoŋə 	Telephon, tv set, radio 
Busi bǎn cědkù 	The cat hates the mouse 
Cɔ̌ naʼ mfi 	The news is fairly good 
Ngàkà bə̂ ngʉ̂ mfu 	The ngàkà has products  
Ngʉnyα̌m kɔ̌ mbɛd 	The pig likes excrement 
Bαg kə ntum α̂ nkə̂bnjʉ 	We go out in the morning
Bαg ghʉ̌ mbʉ mbα bùsi 	We have a dog and a cat 
Jû nə̀ ŋαbə kəʼ bwɔ 	What sticks is not good 
Nswɛnbəʼ ghʉ̌ ntsi 	Yam seller has a basket 
Cə̌’ sə᷅ ò tə̂ lα bwɔ̌	Your hairstyle is pretty
Bombètagə fə α̂ ntɛn 	Bombitag come from south 
Cokod siaŋ ngɔ̂ nα 	Cokod counts the furrows 
Mbὰ wəlǒ ghʉ̌ zə̀nkǒʼntαnə 	Everyone has his counter 
Mbwə bô njʉmbwə fɛd nə̀nὰ	Goat and sheep eat grass 
Mə̀ nɛn α̂  ntαnə 	I am going to the market 
Mbu mαm nkə mbêʼtə dʉʼ 	It’s my hands that sweep 
Kəkʉα bwɔ bô kûʼkà 	Koki is good with macabo 
Tα α bə α̂ mαndùm 	My father is a gentleman 
Tɔ αm lα̌d tu αm 	My neck supports my head 
Nzwi ὰm kə̂ ʼ yǒg njα̂tə 	My wife is not cured yet 
Ghǎŋwàʼnǐ nǔm njαmə 	Pupils are often numerous
Tα, ò zi mə̀bwɔ ὰ? 	Sir, did you sleep well? 
Tα̂gnjαb fə α̂ bǒʼlɛnə 	Tagnjab depends on melon 
Wud ghʉ̌ ndaŋ mi ntad 	The body has three parts 
Nkudbaʼ nǔm ntǎ 	The bricklayer is strong 
Nguǎyid kɔ̌ ndə 	The buffalo likes to run 
Mɛn sǎ caŋ	The child poured the meal
Tǔnndα̂ bə α̂ mbùmtə̀	The family has a meeting 
Tǔnndα tə̂'ə	The family should prosper
Mbwə zə᷅ bαg zwî lα ghu’	The goat we killed is big
Mα̂nzə̀ ŋwà'nǐ sàgə 	The way to school is long
Bαg ghʉ̌ ntsəʼtə̀ tûnndα 	We have a family meeting 
À bə α̂ tsîd bon ni ὰ?	Which children are these?
Ò sôg α̂ tsîd nzwə ὰ?	Which dress did you wash?
À fə̌ nu α̂ mîd ntsə α?	Which water did he drink?
O kom nyǎŋtu	You have shaved your hair
Mə cà’tə̀ o mə mα Djadjeu	I greet you Madam Djadjeu
Kə̌ nzətə tɛ̀dntαnə 	Be vigilant at the market 
Mə lɛ̂n nə̀ fα wud Nsi 	I know how to worship god 
Mbu mαm nkə ndôʼ caŋ 	I take food with my hands 
Tswə mə̀bwɔ mbὰ 	I wish to you a good stay 
Mα α bə α̂ tα̂mnzwə 	My mother is a dressmaker 
Bǎmmbǎ cʉb Nə̀nὰju 	Nə̀nὰju has constipation 
Ncʉ̌ yag baʼ bə α̂ fogtab 	Our house has white color 
Mɛn fɛ̀dtə̌ ntsə	The child poured the water
Tǔnndα tə̀'ə	The family should progress
Bu zə᷅ mə̀ bə̂’ lα tʉ̀nə	The hand i broke is curred
Mbi bə̂ njwîmtə mα α 	The knives help my mother 
Ndùʼ bə nzi ndα ncʉαgə 	The old palm wine is acid 
Ntsə̌ mi᷅ mə̀ nû lα lαn	The water i drank is clean
Bo na fu	They prepared the medicine
Zin nə̀tǎncǔ ya’nka’	Your dispute is exagerated
á kɔ̌ nə̀lǎb mɛ́n	he likes beating the child
Bə̂ ʼləʼ ghʉ̌ ndɔ tsə yαmə 	Bə̂ ʼləʼ has many branches 
Tα, ò zi mə̀bwɔ ὰ? 	Daddy, did you sleep well? 
Mbα mα α ghʉ̌ kὰbὰ 	Even my mother has dresses 
A nu ntse min fa	He has drunk all your water
Nzwə̂ mfʉαg lα 	Here is the cloth for cold 
Nzwə̂ ŋwàʼnǐ lα 	Here is the school uniform 
Mə̀ sə̀ʼ α̂  leʼ savʉ 	I come the day of funerals 
Mə kɔ̌ bα̂n sogcɛ̀n 	I like fufu with cɛn sauce 
Mə kɔ̌ tα̂gnjαb, a lα 	I like tagnjab, here it is 
Mə sog α̂ nkəbαb mα α 	I wash my mother’s sandals 
Nywi, mbi bə α̂ cûntαnə 	Machetes, knives are goods 
Ncʉὰmbwə α̌m tα̌  	My elder brother is strong 
Mα α zə̀ ndʉb ghʉ̌ kog 	My grandmother has a stick 
Ghǎŋwàʼnǐ nǔm njαmə  	Students are often numerous
Sofǎ’ zə᷅ ò jûn nα fʉὰgə	The hoe you bought is light
Fə̌ʼmbwog bə α̂ ncùndα 	The kitchen is in the yard 
Mə̀ mɛ̂n njuʼ ncù bwɔ 	The obedient child is good 
Ntôʼzi ghʉ̌ nkunndα ncwɛn 	The rooms have wooden beds 
Ngʉαyən bə α̂ num diaŋ 	The tv set is on the chair 
Bαg fə α̂ ŋwàʼnì 	We coming back from school 
Fǔ sə᷅ ò nû lα bə α̂ sîlə?	Which drugs have you taken?
À bə α̂ mîd nsɔ̌ nkə nja i α?	Which teeth is paining him?
A nu ntse múb fa	He has drunk all their water
Zə̀ nə̀fɛ̌nntʉ ya’nka’	His courage is extraordinary
Mə nɛ̌n sog α̂ mbu 	I am going to wash my hands 
Mə̌ ghʉ̌ cû ŋwànǐ yαmə 	I have a lot of school tools
Mə ghʉ̌ mvɛ̀n bô bàm 	I have a stomach and a back 
Mə ghʉ̌ bə̌n mα cαm 	I have my maternal brothers 
Mə ghʉ̌ bə̌n tα cαm 	I have my paternal brothers 
Mbu mαm nkə mα̂ʼ nzwə 	I wear clothes with my arms 
Ngòn tα α kɔ̀ αm 	My paternal sister loves me 
Ngɔ yαg ghʉ̌ jûjʉ 	Our country has enough food 
Bàʼ yαg ghʉ̌ ntôʼ mi yαmə 	Our house has several rooms 
Saŋ futə ngαb 	The bird looks like the hen 
Ngab kɔ̌ ngə̀fəd yαmə 	The hen loves corn too much 
Fə̌ ʼmbwog ghʉ̌ tɔ̌ mbwogə 	The kitchen has a fireplace 
Nywi bə̂ njwîmtə tα α 	The machetes help my father 
Bαg nɛn α̂ ntα̂n laʼ 	We go to the village market 
Bαg yǔb kwǐ bʉèʼngɔ è 	We sang the national anthem 
O ƴαb ka yάg yα?	Where have you kept our pan?
mə jən ju mɛn	I saw the thing of the child
Cʉὰshum bə α̂  bokwud boke 	Cassava is attached detached 
Jûntα̂n ntʉ̌n swɛn wûl i 	Good merchandise flows alone 
Mə càʼtə̀  ntʉ̂ʼnjàm αm 	I greeted my younger brother 
Mə lɛn nə̀ nyǎŋ ndὰnzì 	I know how to dance ndὰ nzì
A kə̂ ʼ zìn mbὰ mətsili 	It’s not going even a little 
Cùʼkə̀lɔ bô bànkun 	Mached banana with red beans 
Tα α ghʉ̌ bα̌m zib 	My father has a shoulder bag 
Ngα̂ʼnzə̀ bə α̂ tûswə 	Ngα̂ʼnzə̀ is the first born  
Cαbcə̌d zə᷅ à bə̂ ndʉb lα zənù	Tchaptchet who is big is wise
Ncʉὰmbwə bʉʼ mfɛ̂l i 	The elder raises his brother 
Kα̂sə bwɔ bô lα̂li 	The mask dance well the lali 
Ntsə̌ mi᷅ mə̀ nû lα lαn	The water i drank is portable
Ndǎmnjʉ, mə nɛ̂n ŋwà'nì 	Tomorrow, i will go to school
Bαg nǔm njαm mα̂nzə̀	We are often numerous on road
Bα̂g sǒg nzwe cαg fa	We have washed all our cloths
O yαb kâ sín yα?	Where have you kept your pan?
Mə kə̀ yən tαb mvɛd	I have not seen a drop of oil
Kə̀mbuʼtuʼ kəʼ ghʉ̌ tom 	Banana does not  have support 
O yog lα mα? 	Did you have a good day madam?
A na kə̀lɔ̀ sαg fa	He has cooked all our plantain
Mə nɛn α̂ ntsə 	I am going to the water steam 
Lò’ yə̂n ju nɛ̂n yi	Take this thing and go with it
Mvɛd mi᷅ bαg jûn nα tânjòŋ	The oil we bought is expensive
Dʉ̌ʼ ŋwà'nǐ sàgə 	The place of the school is far
Ndα̂ntα̂ n cû mə̀kalə 	The stand of imported objects 
Ntôʼ zi bə yαmə 	There are many sleeping rooms 
Bα̂g sǒg nzwe cαg fa	We have washed all our dresses
O yαb kâ yúb yα?	Where have you kept their pan?
Kòglòg cʉb bôn shum 	Young people suffer from aids 
Yù nə̀fǎ̀ bwɔ̌	Your way of working is correct
Ò ghʉ̂ bon α̂ sî’i?	How many children do you have?
Mû njun ju kə̂’ bwɔ̀	Your way of buying is not good
Bəʼmbemə ta ncʉα̂ bə̀lòŋ 	Bəʼmbemə is harder than potato 
Bəʼntûju bwɔ bô tα̂gkə̀nà 	Bəʼntûju is good with tagkena 
Ghǎjun nkə mfəd dʉʼ 	Buyers are jostling each other 
O yog lα tα? 	Did you have a good day daddy? 
O yog lα mα? 	Did you have a good day mummy? 
O zi lα tα? 	Have you had a good night sir? 
A na kə̀lɔ̀ sín fa	He has cooked all your plantain
Mbu mαm nkə nkə̂d mɛn 	I carry the baby with my hands 
Kə̀nα̌  bwɔ̌ sôgfogtab 	Peanut is good for white sauce 
Bon tsə᷅ à câgtə lα cʉα̌	The children he educated passed
Ndα̌b mi᷅ ò tʉ̂ntə tùn i lα	The ndα̌b that you cited to him
Ntα̂ngwa nkə mbwog α̂ mbàŋ 	The salt seller fears the rain 
Nsɔ̌ mi᷅ ò cû’ lα lαn	The teeth you brushed are clean
Sɛ̂nnî bə α̂ leʼ ntα̂nə 	Today is the day of the market 
Bα̌g sǒg nzwə̂ tsín fa	We have washed all your dresses
A na kə̀lɔ̀ súb fa	He has cooked all their plantain
A na kə̀lɔ̀ sαg fa	He has prepared all our plantain
Sə αm futə zə̂ tα α 	My figure looks like my father’s
Ngòn mα α nandα mɛ̂nfi 	My sister got married too young 
Kα̂ ngàngòkɛd fà’ tsə̂ fà’	That the patient should not work
Ntα̂ngαb ta saʼbuʼu 	The chick seller buys the raven 
Ncǔ gha kûʼkà mbαg 	The mouth refuses the raw macabo
Ngoʼ bə̂ mbα̂n njαb 	The termite is not the vegetable
Kod bə α̂ njàm fə̌ ʼmbwogə 	The toilet is behind the kitchen
Mbwə yα̂m mə̌ ndα	There are many goats in my house
Ngòkɛd yαm ntûm njʉ 	Too much illnesses in the world 
Bα̌g sǒg nzwə̂ cób fa	We have washed all their dresses
Tǔnndα tə̀’ə	That the familly should progress
Kα̂ bzǐb bwɔ ngàfàʼ 	Cell-phones are good for workers 
Kα̂ nɛ̌n cwɛd kə sofàʼ 	Do not go to the farm without hoe
O zi lα tα? 	Have you had a good night daddy? 
O zi lα mα? 	Have you had a good night madam? 
O zi lα mα? 	Have you had a good night mummy? 
Mə̀ fə α̂ ntαnə 	I am coming back from the market 
Ò nkə ntα̂ ntαnə, ò bêb bìn kə̀ bi lô 	Merchants wait for profit or loss
Tα α zə njàm bə α̂ jʉ̀	My grandfather is living in bazou
Mfə̌n zə᷅ bin câ’tə i lα tǎ	The chief you greeted is powerful
Ka zə᷅ mɛn sôg lα lαn	The pan the child washed is clean
A fα kâ mɛn	He has given the pan to the child
Nzikûʼ kə̂ ʼ bə tɛ̂d caʼ bam nja 	Even the mud extinguishes the fire
Kα̂ nɛ̌n cwɛd kə sofàʼ 	Do not go to the farm without hoe 
Nzikûʼ kə̂ ʼ bə tɛ̂d caʼ bαm nja 	Even the mud extinguishes the fire
Mə fə α̂ ntsə 	I am coming back from water stream
Lα̂ʼ sαg bə α̂ lα̂ʼntu 	Our concession has a lot of people
Nka bô mba bə α̂ fə̌ʼmbwogə 	Plates and pots are in the kitchen
Nkûn mə̀kad lǒʼ dʉ̌ ʼ tα̂ nyα̌shʉʼ 	Rice has taken the place of beans 
Caŋ bə α̂ nzə̌nzə̀	The are several meals on the menu 
Bon tsə᷅ à câgtə lα cʉα̌	The children he educated succeeded
Mbwogcʉ̂ ŋwànǐ mi 	The school finishes during the day
Kod kə̂ʼ bə tsə α̂ ndα 	The toilet is not inside the house
Nzə ndʉ̂ ʼ CEPOM nǔm nɛ̂n nə̀sὰ 	The voice of ndʉ̂ ʼ cepom goes far
O be ghὰbtə̌ ndù’ o lê’ ǐ lα̂ mè	While sharing the win, keep me one
Mbə̀’yα̂m bɔnkə’ nɛ̌n ŋwà’nì	Most of the children are in school
Nzwə lα wǎntα̂n nzwə 	Clothes are available at the booths
Fitə bə̂ ngʉ̂ tǔnndα tsiα̂ŋtə̀	Family peace gives joy to the heart
Mə ghʉ̌ nkα̌mwʉd yαmə 	I have many parts of the human body
O nkɔ̂ ghǎfà’, o tsiâŋ cənnα	If you lack worker, call those ones
O be ghὰbtə̌ ndù’ o lê’ ǐ lα̂ mè	Keep me one, while sharing the beer
Fǔ sə᷅ à nû lα zwə̌	The medicine he has drunk is bitter
Ntsə̌ mi᷅ mə̀ nû lα lαn	The water that i drank is drinkable
Nzə ntsə̌ sàgə 	The way to the water stream is long
Toŋtαn zə᷅ à sə̂’ lα fə α̂ Mα̂nαmə	Toŋtαn who came, comes from bamenda
Zîd mfə̌n nkə ntɔ̂ la’ li ὰ?	Which chief reigns in this village?
O be ghὰbtə̌ ndù’ o lê’ ǐ lα̂ mè	While sharing the beer, keep me one
Mbα wəlò bô zə̀ ngàtswitə̌ ntʉ̂m ta' ndα̂ ŋwà'nì	Each with his teacher in a classroom
Ngɔ̌ bὰ mɛ̀n bə α̂ mbαb kə̀vogə 	Everyone’s village is bone-free meat
Nzwə tsə᷅ bìn sôg lα kə̂’ lαn	The dresses you washed are not clean
Sɔ̌ sə᷅ à cô’lα bi	The tooth that is removed is missing
Cûntαn dun wǎntαnə 	There are lot of goods in the stands
Kα̂ nɛ̌n ntα̂n kə̀ nkαb 	Do not go to the market without money
Wǎd kə̀lɔ bô nywi 	Harvest the plantain with the machete
Kə̀ swɛn, kə̀ jun kα nɛn ntαnə 	Without money do not go to the market
À bə zə yû ka tsîd lα, o lô’ yənnî	If your plate is broken, take this one
Nkə̂bnjʉ bαg tsîn nka 	In the morning we will align ourselves
Mbʉ tsə᷅ tα̂ yαg sə̂’ yi lα cʉαg	The dogs  our father brought are wicked
Ntʉ din nʉ̌n dʉ̌’ yαmə, mə̀ à’ kəb səndîn	These trees give shade, i will that one
Mfə̌dnjʉ, o yog lα mα?	In the evening, did you have a good day?
Ghǎtswitə̌ bɛ̂n njαm dʉ̌' ŋwà'nì 	Teachers are the most numerous at school
Bə̀nntʉ̌n yαm ntα̂nə 	There are plenty of people at the market
A bwɔ̀ mbə̌ ò na sə̀mô’ kə̀lɔ̀	It is good you cook a different plantain
Mbʉ tsə᷅ tα̂ yαg sə̂’ yi lα cʉαg	The dogs that our father brought are wild
Nkə̂bnjʉ, o zi lα tα 	In the morning, did you have a good night?
Yαg dʉ̌'  ŋwà'nǐ ghu', ndα̂ ŋwà'nǐ yαm bwə	Our school is big with a lot of classrooms
Zə̂ fu fàg, mbα à à’ kəb yəndîn	If his leaf is torn, he should cut that one
Nzə̀nzə̌ dun wǎmbαb 	There is a lot of fly in the butcher’s shop
Bə̀lǒŋ bαm bo fɛl i mbαg 	It is the potato which left to be eating raw
Ndayo zə᷅ ó câ’tə i lα nɛ̌n Ngulαbe	Ndayo that you greeted has gone to bangoulap
Cûjʉ tab ntαnə 	There is more than enough food in the market
Bò bə̂ ndûd tà’ ntsə kα nkûm yi la’	We cross a river before arriving at his home
Nə̀kutu zə᷅ o cwɛ̌d ntswîtə lα kə ndâ’tə α̂ fɛ̌nntʉ̂ yαme	Your boldness testifies your extreme courage
Tôʼmǔ ghʉ̌ ndiaŋ mbὰ nkǒʼncwɛn 	The living room has chairs and wooden cabinet
Njαbkə̀nà fə yα ntαn α̂ ? 	Where does njabkena is coming from the market
Ò njən ntoŋnkù kα̂  kʉ	Do not run away from the police if you see him
Nzwə mbwôŋ wʉ̀, o mâ’ yəndîn	If you do not have dresses, then take that one 
Tôʼmǔ ghʉ̌ ngʉαyən mbὰ nkǒʼcaŋ 	The living room has a tv set and a margin guard
Sə̂və̌ tα yαg lα tôʼmù 	The picture of our father is in the living room
Mɛn mbə̂ à à’ jʉ caŋ, o fα̂ sənnî yi	If the child wants to eat then give him this one
A bə zə ò à’ sǒg bɔnkə’ lα, o bwôgmbwə̀ nsôg yənnî	If you are to wash children, wash this one first
À bə zə ò à’ sǒg nzwe lα, sôg cəndîn	If you are to wash children,  then wash those ones
A bə kʉα̌ nsofà’ kα mbə’ yənnα	It is by sharpening the hoes that she broke that one
Kwì’tə̌ yὰm nə̀kutu me tα̂	Father; give me the courage to become more daring father
Bàʼcaʼ lα bwə, bα̌ʼncwɛn lα bwə 	Sun dry blocks houses are there, wooden houses are there
Mbwə yα̂m mə̌ ndα, lò’ yənnα nɛ̀n nkα̂ge	There are many goats in my house, take that one and rear
